,,Amharic,English,Spoken,Maths (Amharic),Maths (English),GSA,GSE,Art/Music,HPE,Integrated,Social,Civics,Biology,Chemistry,Physics,Geography,History,ICT-1,ICT-2,Aesthetics
17,SA/0210,77,49,70,73,48,53,59,,,,,,,,,,,64,,91
17,SA/0228,88,92,84,88,69,75,94,,,,,,,,,,,71,,94
17,SA/0253,74,66,74,84,58,68,53,,,,,,,,,,,66,,89
17,SA/0260,71,85,83,79,59,60,83,,,,,,,,,,,77,,90
17,SA/0267,100,91,89,98,63,74,93,,,,,,,,,,,85,,95
17,SA/0271,95,95,88,97,73,77,84,,,,,,,,,,,81,,94
17,SA/0274,54,45,49,41,34,41,43,,,,,,,,,,,60,,89
17,SA/0284,68,55,79,55,40,59,46,,,,,,,,,,,66,,88
17,SA/0291,78,84,78,89,49,56,73,,,,,,,,,,,72,,92
17,SA/0299,87,77,87,68,63,68,65,,,,,,,,,,,71,,92
8,SA/0008,95,94,100,100,,,,,90,100,98,98,,,,,,94,,
8,SA/0016,90,79,88,75,,,,,82,91,87,94,,,,,,79,,
8,SA/0035,69,67,68,59,,,,,66,77,53,73,,,,,,77,,
8,SA/0036,96,80,92,82,,,,,80,94,86,94,,,,,,96,,
8,SA/0044,86,69,86,46,,,,,76,85,71,93,,,,,,65,,
8,SA/0057,83,57,64.5,58,,,,,66,72,67,91,,,,,,67,,
8,SA/0062,88,67,96.5,57,,,,,68,69,60,89,,,,,,72,,
8,SA/0065,93,65,100,55,,,,,80,79,78,85,,,,,,62,,
8,SA/0084,87,78,93,60,,,,,76,93,79,94,,,,,,72,,
8,SA/0094,85,91,98,98,,,,,86,92,94,100,,,,,,81,,
8,SA/0100,79,61,80,49,,,,,64,56,60,67,,,,,,72,,
8,SA/0157,88,75,89.5,73,,,,,72,88,90,96,,,,,,69,,
8,SA/0176,49,42,54,38,,,,,62,55,59,48,,,,,,69,,
8,SA/0191,74,62,85.5,53,,,,,80,66,65,90,,,,,,70,,
8,SA/0230,85,62,95,54,,,,,70,69,65,91,,,,,,76,,
8,SA/0246,74,58,91,53,,,,,76,58,66,76,,,,,,69,,
8,SA/0254,93,92,99.5,88,,,,,86,99,82,94,,,,,,75,,
8,SA/0257,84,75,94,79,,,,,70,92,83,89,,,,,,73,,
8,SA/0286,94,98,100,100,,,,,84,100,98,99,,,,,,100,,
18,SA/0006,78,62,86.5,44,,,,,68,62,72,87,,,,,,63,,
18,SA/0009,90,89,100,83,,,,,84,100,93,98,,,,,,89,,
18,SA/0013,76,71,91.5,61,,,,,72,81,66,77,,,,,,73,,
18,SA/0051,79,77,81,60,,,,,80,93,84,90,,,,,,56,,
18,SA/0072,86,79,94,62,,,,,70,81,85,92,,,,,,75,,
18,SA/0075,79,67,93.5,58,,,,,70,80,71,85,,,,,,70,,
18,SA/0090,88,98,100,91,,,,,82,97,91,92,,,,,,82,,
18,SA/0105,79,52,81.5,57,,,,,66,73,63,76,,,,,,68,,
18,SA/0163,98,99,99.5,100,,,,,82,100,97,98,,,,,,81,,
18,SA/0213,53,51,46,34,,,,,66,49,50,62,,,,,,63,,
18,SA/0225,88,60,94,62,,,,,76,89,84,80,,,,,,75,,
18,SA/0234,87,68,92,54,,,,,78,82,76,85,,,,,,68,,
18,SA/0240,85,63,88,61,,,,,76,90,86,97,,,,,,69,,
18,SA/0247,81,66,88.5,47,,,,,82,84,84,83,,,,,,64,,
18,SA/0273,91,92,98,97,,,,,88,90,94,98,,,,,,69,,
18,SA/0275,42,48,55,33,,,,,68,42,35,50,,,,,,47,,
18,SA/0298,93,94,98,86,,,,,70,99,91,94,,,,,,84,,
18,SA/0301,96,90,98.5,97,,,,,74,90,90,97,,,,,,81,,
9,SA/0015,98,89,92.5,98,,,,,90,98,95,94,,,,,,78,,
9,SA/0038,90,93,97,77,,,,,84,92,84,88,,,,,,88,,
9,SA/0052,80,63,84,59,,,,,78,76,76,76,,,,,,68,,
9,SA/0073,88,83,90,77,,,,,86,87,61,83,,,,,,87,,
9,SA/0078,73,78,86,92,,,,,80,71,69,68,,,,,,77,,
9,SA/0086,85,97,95,88,,,,,90,99,96,88,,,,,,84,,
9,SA/0101,93,90,95,98,,,,,78,96,95,96,,,,,,83,,
9,SA/0124,81,78,96,76,,,,,86,85,94,89,,,,,,63,,
9,SA/0130,86,78,94,80,,,,,78,87,89,84,,,,,,72,,
9,SA/0144,96,91,98,97,,,,,78,98,96,94,,,,,,80,,
9,SA/0146,83,70,77,57,,,,,74,93,75,80,,,,,,74,,
9,SA/0154,92,85,92,80,,,,,70,73,77,89,,,,,,83,,
9,SA/0159,95,90,94.5,95,,,,,70,98,94,94,,,,,,77,,
9,SA/0173,42,47,59,52,,,,,66,62,47,45,,,,,,69,,
9,SA/0197,88,96,99,91,,,,,86,98,94,88,,,,,,96,,
19,SA/0019,70,56,48,64,,,,,62,76,57,45,,,,,,61,,
19,SA/0021,59,53,49,61,,,,,62,76,62,59,,,,,,64,,
19,SA/0095,97,90,86.5,95,,,,,86,92,95,93,,,,,,76,,
19,SA/0108,87,82,83.5,69,,,,,74,89,86,91,,,,,,81,,
19,SA/0132,76,88,91.5,90,,,,,80,95,93,88,,,,,,81,,
19,SA/0174,72,64,54,62,,,,,66,72,78,60,,,,,,63,,
19,SA/0179,70,69,70,73,,,,,68,75,74,84,,,,,,64,,
19,SA/0203,82,69,83.5,62,,,,,74,89,86,75,,,,,,66,,
19,SA/0204,72,64,65,74,,,,,62,76,68,55,,,,,,58,,
19,SA/0216,94,93,88.5,97,,,,,76,99,96,88,,,,,,81,,
19,SA/0232,85,76,94.5,94,,,,,64,88,82,80,,,,,,72,,
19,SA/0255,74,54,52.5,62,,,,,64,65,58,69,,,,,,59,,
19,SA/0258,81,71,65.5,86,,,,,76,90,77,76,,,,,,77,,
19,SA/0262,96,81,72.5,85,,,,,80,88,89,90,,,,,,74,,
19,SA/0268,96,95,90,86,,,,,70,85,91,95,,,,,,76,,
19,SA/0289,84,87,96,82,,,,,76,82,64,81,,,,,,55,,
10,SA/0007,98,90,,,86,,,,70,,90,96,72,94,72,,,,80,
10,SA/0058,80,61,,,65,,,,64,,84,89,61,77,54,,,,65,
10,SA/0093,98,94,,,78,,,,83,,90,95,77,93,85,,,,84,
10,SA/0096,78,27,,,60,,,,70,,76,85,74,74,64,,,,61,
10,SA/0113,71,36,,,70,,,,58,,75,73,69,74,57,,,,59,
10,SA/0117,99,59,,,90,,,,78,,92,97,69,87,71,,,,82,
10,SA/0148,100,68,,,78,,,,80,,93,94,94,84,73,,,,70,
10,SA/0155,97,92,,,94,,,,78,,87,95,81,83,84,,,,85,
10,SA/0224,92,70,,,67,,,,70,,81,87,68,74,58,,,,74,
10,SA/0241,94,47,,,62,,,,72,,68,81,69,65,58,,,,57,
10,SA/0277,73,29,,,53,,,,70,,80,75,72,69,62,,,,54,
10,SA/0283,99,94,,,92,,,,66,,90,96,90,91,77,,,,75,
10,SA/0285,91,58,,,79,,,,78,,92,91,77,80,71,,,,66,
20,SA/0046,93,91,,,79,,,,76,,83,93,74,79,62,,,,73,
20,SA/0110,99,91,,,86,,,,69,,87,97,82,84,73,,,,78,
20,SA/0149,90,42,,,69,,,,67,,73,89,74,70,56,,,,53,
20,SA/0164,98,98,,,83,,,,80,,99,90,88,95,92,,,,78,
20,SA/0192,92,86,,,100,,,,81,,91,97,84,71,69,,,,65,
20,SA/0198,80,63,,,55,,,,56,,73,74,58,67,59,,,,59,
20,SA/0211,87,49,,,66,,,,71,,75,76,65,62,58,,,,45,
20,SA/0242,80,44,,,71,,,,60,,78,80,68,70,58,,,,43,
20,SA/0259,95,63,,,71,,,,68,,74,96,68,63,60,,,,49,
20,SA/0288,84,47,,,65,,,,70,,82,79,71,73,65,,,,58,
20,SA/0290,100,66,,,84,,,,72,,84,90,71,87,56,,,,71,
20,SA/0296,98,59,,,68,,,,66,,78,87,65,70,57,,,,60,
11,SA/0004,79,66,,,68,,,,79,,73,81,59,65,57,,,,80,
11,SA/0012,72,59,,,64,,,,71,,70,81,50,72,55,,,,66,
11,SA/0047,93,96,,,86,,,,95,,88,90,86,83,71,,,,91,
11,SA/0048,91,78,,,78,,,,85,,86,87,85,86,75,,,,75,
11,SA/0059,83,64,,,70,,,,79,,72,89,65,67,64,,,,62,
11,SA/0063,86,76,,,68,,,,63,,81,88,64,79,62,,,,74,
11,SA/0085,71,59,,,65,,,,65,,67,83,62,65,59,,,,56,
11,SA/0118,95,88,,,85,,,,95,,94,88,83,94,76,,,,85,
11,SA/0136,92,71,,,71,,,,83,,77,82,63,63,56,,,,73,
11,SA/0162,93,82,,,62,,,,73,,72,90,62,69,58,,,,70,
11,SA/0171,94,82,,,90,,,,95,,92,92,83,94,83,,,,89,
11,SA/0193,92,80,,,64,,,,79,,80,87,70,71,66,,,,79,
11,SA/0207,82,72,,,70,,,,80,,78,81,63,70,70,,,,62,
11,SA/0221,100,98,,,100,,,,95,,99,95,98,95,95,,,,97,
11,SA/0276,92,70,,,68,,,,71,,78,88,66,76,72,,,,69,
21,SA/0087,87,87,,,74,,,,81,,73,81,73,76,75,,,,76,
21,SA/0120,85,76,,,67,,,,69,,69,86,53,67,57,,,,64,
21,SA/0131,69,65,,,63,,,,69,,59,68,61,68,54,,,,65,
21,SA/0152,76,79,,,69,,,,69,,67,83,54,68,60,,,,66,
21,SA/0205,81,79,,,76,,,,83,,86,85,87,91,82,,,,78,
21,SA/0227,77,72,,,68,,,,69,,71,72,63,73,59,,,,67,
21,SA/0243,83,60,,,64,,,,69,,61,83,53,64,58,,,,67,
21,SA/0244,86,73,,,71,,,,73,,66,89,53,71,66,,,,67,
21,SA/0248,88,86,,,82,,,,82,,77,87,76,78,70,,,,66,
21,SA/0278,79,61,,,57,,,,74,,58,84,63,70,62,,,,62,
21,SA/0304,81,66,,,67,,,,72,,64,83,59,65,68,,,,65,
21,SA/0306,95,91,,,75,,,,77,,83,88,84,88,70,,,,72,
12,SA/0005,67,70,,,72,,,,73,,,57,67,64,38,72,62,,58,
12,SA/0022,88,71,,,71,,,,64,,,65,78,67,69,72,64,,78,
12,SA/0029,76,62,,,68,,,,81,,,59,67,69,57,68,70,,50,
12,SA/0039,75,96,,,77,,,,89,,,94,94,85,75,90,87,,93,
12,SA/0050,97,67,,,74,,,,96,,,82,76,80,73,91,89,,82,
12,SA/0056,58,43,,,63,,,,80,,,48,56,55,51,70,57,,46,
12,SA/0067,77,66,,,78,,,,77,,,82,75,72,70,67,66,,69,
12,SA/0091,58,62,,,74,,,,89,,,63,58,64,56,65,62,,45,
12,SA/0097,95,84,,,75,,,,89,,,88,91,80,70,84,94,,82,
12,SA/0109,93,80,,,90,,,,95,,,83,74,80,69,94,89,,84,
12,SA/0172,97,98,,,100,,,,100,,,96,97,95,96,100,98,,100,
12,SA/0215,91,81,,,73,,,,83,,,89,73,63,69,90,89,,67,
12,SA/0226,78,82,,,67,,,,94,,,83,81,76,78,92,92,,80,
12,SA/0250,70,72,,,74,,,,79,,,72,57,65,57,76,72,,50,
12,SA/0263,85,83,,,70,,,,94,,,83,81,79,85,93,97,,82,
12,SA/0302,77,73,,,58,,,,83,,,76,71,64,68,68,77,,58,
22,SA/0045,74,66,,,62,,,,88,,,66,71,59,58,76,79,,58,
22,SA/0139,97,72,,,62,,,,85,,,87,80,66,62,90,95,,75,
22,SA/0143,92,68,,,85,,,,86,,,88,95,90,83,97,96,,92,
22,SA/0147,68,55,,,76,,,,81,,,57,47,65,40,64,75,,53,
22,SA/0167,89,64,,,61,,,,83,,,66,61,65,50,87,91,,66,
22,SA/0175,96,94,,,92,,,,100,,,92,99,96,95,100,97,,99,
22,SA/0186,82,56,,,64,,,,85,,,63,58,61,52,59,64,,52,
22,SA/0199,88,64,,,68,,,,91,,,91,71,69,69,84,96,,81,
22,SA/0209,92,73,,,70,,,,87,,,87,62,65,55,77,88,,65,
22,SA/0219,91,62,,,62,,,,91,,,77,63,70,63,75,84,,63,
22,SA/0236,78,55,,,69,,,,90,,,78,62,72,57,68,79,,73,
22,SA/0249,82,50,,,71,,,,85,,,66,63,61,47,66,66,,55,
13,SA/0010,97,88,,,75,,,,87,,,94,89,84,82,100,96,,99,
13,SA/0053,74,63,,,62,,,,71,,,64,50,65,59,62,58,,60,
13,SA/0068,94,80,,,74,,,,87,,,96,83,70,79,92,89,,88,
13,SA/0069,83,78,,,69,,,,85,,,83,80,70,62,82,68,,82,
13,SA/0076,89,81,,,67,,,,77,,,65,79,67,59,74,61,,70,
13,SA/0103,75,74,,,73,,,,71,,,67,78,68,61,70,63,,79,
13,SA/0121,78,80,,,65,,,,95,,,63,59,67,53,59,58,,56,
13,SA/0137,87,84,,,77,,,,81,,,82,72,78,74,90,82,,91,
13,SA/0145,51,59,,,57,,,,63,,,46,52,60,50,53,45,,67,
13,SA/0183,63,91,,,65,,,,84,,,49,72,69,68,79,73,,86,
13,SA/0214,100,87,,,100,,,,91,,,96,100,98,95,100,99,,99,
13,SA/0223,96,84,,,71,,,,87,,,86,83,71,64,80,57,,83,
13,SA/0229,97,88,,,86,,,,85,,,95,83,86,89,100,91,,91,
13,SA/0235,91,84,,,63,,,,91,,,80,70,78,69,76,80,,81,
13,SA/0256,78,80,,,63,,,,73,,,83,65,68,64,66,68,,66,
13,SA/0270,86,73,,,69,,,,71,,,74,65,68,58,72,61,,80,
13,SA/0292,94,78,,,84,,,,79,,,92,85,92,86,99,91,,88,
13,SA/0303,79,50,,,50,,,,66,,,66,67,68,51,67,46,,67,
23,SA/0014,91,80,,,71,,,,89,,,90,82,82,77,95,73,,89,
23,SA/0033,91,76,,,68,,,,71,,,73,66,63,54,74,54,,82,
23,SA/0070,96,88,,,79,,,,85,,,95,92,81,78,100,86,,94,
23,SA/0092,89,55,,,66,,,,73,,,69,52,66,49,73,54,,54,
23,SA/0115,93,73,,,81,,,,83,,,80,82,78,66,95,82,,83,
23,SA/0116,83,71,,,70,,,,72,,,66,60,66,62,75,56,,70,
23,SA/0123,93,82,,,67,,,,81,,,83,67,67,52,75,61,,63,
23,SA/0165,95,94,,,76,,,,59,,,89,85,81,73,100,80,,94,
23,SA/0166,78,72,,,70,,,,75,,,56,62,68,50,61,57,,53,
23,SA/0189,95,89,,,92,,,,87,,,89,91,89,93,100,92,,95,
23,SA/0208,95,82,,,76,,,,79,,,95,79,81,76,88,84,,87,
23,SA/0217,87,78,,,66,,,,75,,,76,64,75,58,77,52,,61,
23,SA/0269,94,85,,,68,,,,79,,,77,66,72,58,91,67,,71,
23,SA/0279,89,78,,,74,,,,89,,,93,83,76,63,92,75,,67,
23,SA/0280,84,84,,,64,,,,77,,,83,70,67,65,91,68,,62,
23,SA/0300,79,89,,,84,,,,87,,,87,84,78,80,99,90,,90,
