,,Amharic,English,Spoken,Maths (Amharic),Maths (English),GSA,GSE,Art/Music,HPE,Integrated,Social,Civics,Biology,Chemistry,Physics,Geography,History,ICT-1,ICT-2,Aesthetics
7,SA/0161,80,78,91,80,65,74,48,,,,,,,,,,,,,
7,SA/0220,93,96,98,99,88,98,85,,,,,,,,,,,,,
7,SA/0294,34,46,40.5,34,46,32,53,,,,,,,,,,,,,
17,SA/0031,89,71,80,92,73,71,59,,,,,,,,,,,,,
17,SA/0032,72,87,92,82,78,76,72,,,,,,,,,,,,,
17,SA/0151,85,94,91,91,74,93,79,,,,,,,,,,,,,
17,SA/0158,70,75,88,62,64,63,58,,,,,,,,,,,,,
17,SA/0160,75,58,60.5,51,48,67,35,,,,,,,,,,,,,
17,SA/0196,55,72,48.5,54,62,41,39,,,,,,,,,,,,,
17,SA/0202,58,57,73,53,47,55,34,,,,,,,,,,,,,
17,SA/0210,51,61,67.5,60,65,40,51,,,,,,,,,,,,,
17,SA/0228,89,84,95,90,74,78,78,,,,,,,,,,,,,
17,SA/0253,71,58,73.5,62,62,62,47,,,,,,,,,,,,,
17,SA/0260,60,60,84,77,65,60,50,,,,,,,,,,,,,
17,SA/0267,96,90,93.5,93,82,91,80,,,,,,,,,,,,,
17,SA/0271,90,78,92,86,80,74,76,,,,,,,,,,,,,
17,SA/0274,44,46,65.5,40,50,42,38,,,,,,,,,,,,,
17,SA/0284,62,66,80.5,50,42,53,45,,,,,,,,,,,,,
17,SA/0291,71,79,80,91,75,57,57,,,,,,,,,,,,,
17,SA/0299,84,78,89,68,62,81,53,,,,,,,,,,,,,
8,SA/0008,98,98,96,90,,,,,97,100,93,98,,,,,,,,
8,SA/0016,87,86,96,73,,,,,97,90,73,88,,,,,,,,
8,SA/0035,64,56,63,64,,,,,77,59,64,69,,,,,,,,
8,SA/0036,93,88,83,84,,,,,84,100,77,92,,,,,,,,
8,SA/0044,85,85,78.5,61,,,,,89,80,78,90,,,,,,,,
8,SA/0057,77,62,76,61,,,,,91,64,62,69,,,,,,,,
8,SA/0062,80,73,91.5,63,,,,,87,57,68,78,,,,,,,,
8,SA/0065,81,52,98,62,,,,,71,70,71,75,,,,,,,,
8,SA/0084,86,91,96,74,,,,,93,67,73,78,,,,,,,,
8,SA/0094,87,90,70,86,,,,,97,91,90,95,,,,,,,,
8,SA/0100,75,49,76,64,,,,,73,57,60,66,,,,,,,,
8,SA/0157,83,85,75,79,,,,,97,73,78,76,,,,,,,,
8,SA/0176,60,51,44.5,58,,,,,73,42,50,61,,,,,,,,
8,SA/0191,84,82,84,64,,,,,83,55,73,73,,,,,,,,
8,SA/0230,78,57,76,57,,,,,77,56,77,88,,,,,,,,
8,SA/0246,68,59,71,55,,,,,77,56,68,59,,,,,,,,
8,SA/0254,88,87,76,76,,,,,91,93,84,91,,,,,,,,
8,SA/0257,74,84,72,70,,,,,87,71,75,90,,,,,,,,
8,SA/0286,97,97,100,94,,,,,99,100,99,99,,,,,,,,
18,SA/0006,73,59,85,60,,,,,91,69,54,79,,,,,,,,
18,SA/0009,84,94,96,80,,,,,97,97,89,94,,,,,,,,
18,SA/0013,77,69,90,71,,,,,75,61,56,70,,,,,,,,
18,SA/0051,84,84,96,73,,,,,93,84,88,84,,,,,,,,
18,SA/0072,80,96,86,61,,,,,91,68,81,86,,,,,,,,
18,SA/0075,83,86,87,59,,,,,87,71,75,89,,,,,,,,
18,SA/0090,86,94,100,80,,,,,97,97,73,90,,,,,,,,
18,SA/0105,65,60,73,73,,,,,75,65,57,58,,,,,,,,
18,SA/0163,97,99,100,94,,,,,97,100,97,96,,,,,,,,
18,SA/0213,65,52,47.5,56,,,,,87,54,54,50,,,,,,,,
18,SA/0225,83,79,92,83,,,,,87,76,70,81,,,,,,,,
18,SA/0234,80,75,84,63,,,,,91,69,68,81,,,,,,,,
18,SA/0240,73,61,86,65,,,,,83,82,78,82,,,,,,,,
18,SA/0247,78,82,83,73,,,,,89,71,79,75,,,,,,,,
18,SA/0273,87,95,98,86,,,,,97,90,85,96,,,,,,,,
18,SA/0275,44,76,52,50,,,,,87,43,72,47,,,,,,,,
18,SA/0298,87,90,98,86,,,,,95,92,85,94,,,,,,,,
18,SA/0301,86,93,94.5,90,,,,,89,93,77,95,,,,,,,,
9,SA/0015,98,80,98,97,,,,,93,85,86,95,,,,,,,,
9,SA/0038,98,94,94,86,,,,,95,89,82,96,,,,,,,,
9,SA/0052,90,73,85,66,,,,,87,73,72,79,,,,,,,,
9,SA/0073,90,83,96,87,,,,,93,76,73,76,,,,,,,,
9,SA/0078,81,74,95,95,,,,,81,69,66,68,,,,,,,,
9,SA/0086,96,97,98,90,,,,,97,86,91,90,,,,,,,,
9,SA/0101,94,92,99,93,,,,,85,88,87,92,,,,,,,,
9,SA/0124,81,67,99,82,,,,,85,78,83,86,,,,,,,,
9,SA/0130,92,78,94,93,,,,,85,87,78,91,,,,,,,,
9,SA/0144,97,91,96,100,,,,,97,96,92,96,,,,,,,,
9,SA/0146,82,69,94,65,,,,,87,86,76,77,,,,,,,,
9,SA/0154,93,83,81,83,,,,,83,78,76,89,,,,,,,,
9,SA/0159,95,92,98,99,,,,,97,89,92,95,,,,,,,,
9,SA/0173,53,42,66,52,,,,,77,57,48,56,,,,,,,,
9,SA/0197,90,99,100,97,,,,,97,92,91,93,,,,,,,,
19,SA/0019,49,65,62,61,,,,,63,64,55,57,,,,,,,,
19,SA/0021,67,54,47,54,,,,,73,64,53,66,,,,,,,,
19,SA/0095,97,93,89,98,,,,,93,91,94,90,,,,,,,,
19,SA/0108,90,78,88,76,,,,,87,85,87,85,,,,,,,,
19,SA/0132,92,99,97.5,86,,,,,89,91,97,91,,,,,,,,
19,SA/0174,47,48,57,53,,,,,79,71,55,60,,,,,,,,
19,SA/0179,70,66,67.5,83,,,,,75,67,79,70,,,,,,,,
19,SA/0203,73,80,65,68,,,,,83,76,80,79,,,,,,,,
19,SA/0204,71,52,62,71,,,,,71,60,78,60,,,,,,,,
19,SA/0216,94,97,98,99,,,,,89,86,90,92,,,,,,,,
19,SA/0232,97,80,90.5,92,,,,,75,78,79,86,,,,,,,,
19,SA/0255,69,51,54.5,64,,,,,71,65,62,60,,,,,,,,
19,SA/0258,96,61,73.5,80,,,,,91,82,80,82,,,,,,,,
19,SA/0262,98,94,85,87,,,,,91,86,88,91,,,,,,,,
19,SA/0268,91,94,98.5,98,,,,,89,87,82,89,,,,,,,,
19,SA/0289,89,94,97,77,,,,,89,84,81,88,,,,,,,,
10,SA/0007,95,94,,,85,,,,87,,87,92,69,85,71,,,,,
10,SA/0058,94,83,,,58,,,,71,,73,87,55,57,60,,,,,
10,SA/0093,95,86,,,83,,,,87,,91,90,79,80,81,,,,,
10,SA/0096,81,72,,,62,,,,79,,80,76,76,57,50,,,,,
10,SA/0113,71,69,,,54,,,,75,,69,72,64,62,53,,,,,
10,SA/0117,93,87,,,85,,,,83,,77,94,74,76,71,,,,,
10,SA/0148,98,84,,,83,,,,89,,80,94,74,76,77,,,,,
10,SA/0155,94,100,,,82,,,,85,,100,95,79,82,81,,,,,
10,SA/0224,90,87,,,57,,,,79,,73,81,65,57,60,,,,,
10,SA/0241,81,76,,,52,,,,75,,73,86,43,57,58,,,,,
10,SA/0277,68,67,,,51,,,,75,,75,74,54,65,48,,,,,
10,SA/0283,90,94,,,72,,,,75,,99,91,75,82,89,,,,,
10,SA/0285,86,81,,,51,,,,81,,86,87,64,68,61,,,,,
20,SA/0046,86,93,,,83,,,,84,,96,92,69,77,76,,,,,
20,SA/0110,87,81,,,79,,,,82,,90,86,66,85,77,,,,,
20,SA/0149,82,73,,,54,,,,74,,72,87,53,59,59,,,,,
20,SA/0164,97,92,,,96,,,,78,,100,91,81,86,86,,,,,
20,SA/0192,95,95,,,90,,,,88,,95,92,80,77,75,,,,,
20,SA/0198,84,84,,,54,,,,70,,68,84,50,67,55,,,,,
20,SA/0211,76,82,,,57,,,,78,,78,77,50,60,58,,,,,
20,SA/0242,82,69,,,59,,,,64,,68,79,60,51,42,,,,,
20,SA/0259,97,74,,,53,,,,76,,71,95,52,58,59,,,,,
20,SA/0288,68,83,,,59,,,,74,,70,80,55,58,50,,,,,
20,SA/0290,90,86,,,57,,,,70,,87,91,64,55,63,,,,,
20,SA/0296,89,83,,,57,,,,76,,76,91,54,53,54,,,,,
11,SA/0004,81,67,,,73,,,,97,,77,74,67,67,55,,,,,
11,SA/0012,77,62,,,86,,,,83,,80,76,61,79,59,,,,,
11,SA/0047,93,94,,,96,,,,99,,94,95,92,86,80,,,,,
11,SA/0048,92,74,,,93,,,,95,,90,90,82,88,89,,,,,
11,SA/0059,87,67,,,80,,,,85,,84,76,74,75,68,,,,,
11,SA/0063,82,86,,,80,,,,89,,85,75,71,77,62,,,,,
11,SA/0085,79,56,,,80,,,,83,,76,63,76,82,68,,,,,
11,SA/0118,93,89,,,96,,,,97,,90,94,88,86,85,,,,,
11,SA/0136,95,73,,,81,,,,89,,75,95,62,71,65,,,,,
11,SA/0162,90,73,,,84,,,,79,,85,83,79,79,67,,,,,
11,SA/0171,91,90,,,99,,,,91,,87,91,89,84,64,,,,,
11,SA/0193,84,80,,,82,,,,93,,80,84,67,77,63,,,,,
11,SA/0207,81,68,,,85,,,,83,,79,69,57,70,58,,,,,
11,SA/0221,97,94,,,100,,,,97,,97,95,100,94,95,,,,,
11,SA/0276,94,63,,,84,,,,89,,83,84,85,83,62,,,,,
21,SA/0087,83,89,,,93,,,,97,,85,84,73,81,68,,,,,
21,SA/0120,80,79,,,73,,,,81,,80,90,64,76,55,,,,,
21,SA/0131,69,84,,,74,,,,79,,74,86,49,65,64,,,,,
21,SA/0152,74,73,,,72,,,,83,,71,88,52,64,43,,,,,
21,SA/0205,80,76,,,96,,,,95,,85,87,92,84,76,,,,,
21,SA/0227,83,76,,,74,,,,95,,66,88,49,71,57,,,,,
21,SA/0243,67,67,,,76,,,,81,,67,74,50,62,49,,,,,
21,SA/0244,88,76,,,81,,,,81,,79,76,63,70,66,,,,,
21,SA/0248,83,87,,,91,,,,87,,82,78,72,84,66,,,,,
21,SA/0278,79,63,,,75,,,,77,,76,88,69,67,67,,,,,
21,SA/0304,77,75,,,77,,,,87,,84,83,57,74,53,,,,,
21,SA/0306,95,86,,,90,,,,95,,80,92,77,85,71,,,,,
12,SA/0005,68,74,,,56,,,,72,,,54,49,54,46,66,53,,62,
12,SA/0022,82,91,,,65,,,,70,,,65,58,55,58,69,61,,59,
12,SA/0029,81,86,,,70,,,,74,,,66,50,59,47,61,55,,54,
12,SA/0039,92,100,,,90,,,,84,,,98,94,95,85,97,93,,83,
12,SA/0050,86,84,,,83,,,,75,,,79,67,79,58,92,82,,86,
12,SA/0056,60,80,,,54,,,,70,,,61,46,68,38,64,48,,55,
12,SA/0067,81,96,,,68,,,,78,,,63,52,64,52,73,54,,58,
12,SA/0091,67,83,,,47,,,,63,,,62,44,54,35,60,43,,49,
12,SA/0097,93,86,,,74,,,,90,,,90,69,82,76,82,90,,74,
12,SA/0109,94,86,,,77,,,,82,,,82,74,88,68,88,78,,76,
12,SA/0172,93,100,,,99,,,,95,,,100,99,95,95,100,96,,93,
12,SA/0215,87,91,,,71,,,,83,,,92,70,83,57,83,80,,68,
12,SA/0226,82,80,,,75,,,,82,,,95,86,83,65,91,92,,87,
12,SA/0250,88,81,,,47,,,,69,,,75,46,63,31,66,60,,65,
12,SA/0263,78,100,,,70,,,,86,,,86,87,86,75,94,86,,90,
12,SA/0302,77,87,,,54,,,,80,,,74,60,53,47,71,61,,64,
22,SA/0045,58,74,,,63,,,,78,,,62,58,67,51,70,77,,69,
22,SA/0139,94,86,,,67,,,,92,,,83,67,68,58,80,83,,66,
22,SA/0143,91,86,,,80,,,,90,,,84,88,90,85,93,93,,93,
22,SA/0147,71,84,,,61,,,,75,,,67,50,54,45,65,56,,53,
22,SA/0167,77,76,,,59,,,,70,,,66,55,69,49,78,73,,55,
22,SA/0175,90,100,,,93,,,,84,,,98,99,96,93,99,96,,91,
22,SA/0186,77,82,,,53,,,,78,,,68,59,69,47,55,59,,55,
22,SA/0199,76,77,,,61,,,,88,,,84,62,77,64,86,85,,80,
22,SA/0209,90,90,,,56,,,,86,,,83,48,69,47,80,82,,74,
22,SA/0219,83,81,,,54,,,,74,,,75,71,76,53,78,80,,67,
22,SA/0236,72,77,,,77,,,,76,,,60,48,75,52,73,64,,46,
22,SA/0249,62,74,,,58,,,,75,,,64,52,59,50,51,58,,58,
13,SA/0010,99,100,,,80,,,,90,,,97,85,90,88,100,99,,95,
13,SA/0053,80,81,,,46,,,,82,,,57,43,55,44,57,51,,46,
13,SA/0068,99,91,,,57,,,,94,,,91,60,90,65,95,79,,99,
13,SA/0069,78,80,,,56,,,,76,,,76,54,61,58,82,59,,74,
13,SA/0076,77,79,,,62,,,,86,,,77,61,66,58,81,53,,50,
13,SA/0103,78,78,,,57,,,,71,,,65,51,59,49,79,54,,72,
13,SA/0121,81,76,,,54,,,,76.5,,,63,41,57,46,74,52,,61,
13,SA/0137,75,100,,,62,,,,94,,,76,70,75,70,88,79,,90,
13,SA/0145,43,68,,,56,,,,65,,,48,51,55,50,52,49,,67,
13,SA/0183,68,86,,,53,,,,82,,,77,61,70,50,74,73,,59,
13,SA/0214,99,100,,,97,,,,96,,,94,92,99,96,100,100,,99,
13,SA/0223,93,94,,,63,,,,82,,,73,43,63,52,70,58,,88,
13,SA/0229,98,91,,,96,,,,86.5,,,88,96,93,82,99,90,,92,
13,SA/0235,90,80,,,64,,,,75.5,,,77,50,69,59,81,78,,78,
13,SA/0256,85,75,,,54,,,,73,,,59,56,75,56,73,52,,51,
13,SA/0270,65,81,,,55,,,,65,,,62,52,70,52,61,52,,77,
13,SA/0292,100,100,,,70,,,,92,,,80,65,81,76,87,87,,87,
13,SA/0303,62,72,,,48,,,,68,,,59,46,64,54,73,50,,52,
23,SA/0014,89,89,,,75,,,,85,,,84,60,90,74,91,69,,99,
23,SA/0033,87,84,,,53,,,,69,,,61,35,62,56,65,61,,41,
23,SA/0070,0,0,,,0,,,,0,,,0,0,0,0,0,0,,0,
23,SA/0092,76,82,,,51,,,,76,,,65,48,67,58,84,46,,73,
23,SA/0115,97,88,,,64,,,,78,,,76,56,82,66,82,76,,84,
23,SA/0116,89,78,,,58,,,,72,,,59,51,67,68,71,67,,76,
23,SA/0123,83,86,,,56,,,,72,,,71,46,69,64,61,61,,79,
23,SA/0165,94,92,,,83,,,,78,,,84,70,84,84,96,87,,86,
23,SA/0166,79,74,,,60,,,,70,,,53,52,57,58,66,46,,65,
23,SA/0189,97,100,,,98,,,,80,,,85,87,86,88,100,98,,87,
23,SA/0208,98,88,,,80,,,,81,,,87,56,90,86,82,85,,96,
23,SA/0217,77,80,,,60,,,,68,,,60,51,64,55,71,71,,74,
23,SA/0269,89,87,,,67,,,,73,,,70,61,62,46,83,72,,79,
23,SA/0279,95,89,,,62,,,,80,,,78,58,77,66,83,87,,75,
23,SA/0280,85,80,,,61,,,,73,,,65,57,75,59,74,73,,84,
23,SA/0300,79,100,,,90,,,,80,,,84,72,81,75,92,84,,92,
